
. Module name, LUTS, REGISTERS, LATCHES, ADDSUB, MUXES, DEDICATED RAMS, DISTRIBUTED RAMS, MULTS, BUFS
. top, 4619, 5583, 0, 0, 959, 12, 91, 0, 0
.	. Char_Pic_Disply_2s_2s_248_26, 29, 39, 0, 0, 0, 2, 0, 0, 0
.	.	. osd_rom, 0, 0, 0, 0, 0, 2, 0, 0, 0
.	.	.	. ipml_rom_v1_3_osd_rom_Z11, 0, 0, 0, 0, 0, 2, 0, 0, 0
.	.	.	.	. ipml_spram_v1_3_osd_rom_Z10, 0, 0, 0, 0, 0, 2, 0, 0, 0
.	. aq_axi_master, 195, 160, 0, 0, 0, 0, 0, 0, 0
.	. aq_axi_master_0, 141, 134, 0, 0, 0, 0, 0, 0, 0
.	. cmos_8_16bit_2s, 658, 4208, 0, 0, 959, 2, 32, 0, 0
.	. cmos_write_req_gen_2s, 1, 3, 0, 0, 0, 0, 0, 0, 0
.	. ddr3, 218, 117, 0, 0, 0, 0, 30, 0, 0
.	.	. ipsl_hmemc_ddrc_top_Z9, 171, 25, 0, 0, 0, 0, 30, 0, 0
.	.	.	. ipsl_ddrc_reset_ctrl_Z8, 171, 25, 0, 0, 0, 0, 30, 0, 0
.	.	.	.	. ipsl_ddrc_apb_reset_Z7, 114, 10, 0, 0, 0, 0, 30, 0, 0
.	.	. ipsl_hmemc_phy_top_Z6, 47, 92, 0, 0, 0, 0, 0, 0, 0
.	.	.	. ipsl_ddrphy_dll_update_ctrl, 7, 9, 0, 0, 0, 0, 0, 0, 0
.	.	.	. ipsl_ddrphy_reset_ctrl, 26, 31, 0, 0, 0, 0, 0, 0, 0
.	.	.	. ipsl_ddrphy_training_ctrl, 5, 8, 0, 0, 0, 0, 0, 0, 0
.	.	.	. ipsl_ddrphy_update_ctrl_16BIT_2s_0s_1s_2s_3s_1, 9, 44, 0, 0, 0, 0, 0, 0, 0
.	.	.	. ipsl_phy_io_Z5, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. pll_50_400, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	. dvi_encoder, 226, 161, 0, 0, 0, 0, 0, 0, 0
.	.	. encode, 69, 45, 0, 0, 0, 0, 0, 0, 0
.	.	. encode_0_0, 61, 35, 0, 0, 0, 0, 0, 0, 0
.	.	. encode_0_1, 66, 40, 0, 0, 0, 0, 0, 0, 0
.	.	. serdes_4b_10to1, 30, 41, 0, 0, 0, 0, 0, 0, 0
.	. frame_read_write, 245, 358, 0, 0, 0, 8, 0, 0, 0
.	.	. afifo_16i_16o_512_0, 52, 116, 0, 0, 0, 4, 0, 0, 0
.	.	.	. ipml_fifo_v1_4_afifo_16i_16o_512_Z2_1, 52, 116, 0, 0, 0, 4, 0, 0, 0
.	.	.	.	. ipml_fifo_ctrl_v1_3_12s_12s_ASYN_1020s_4s_1, 52, 116, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. ipml_sdpram_v1_4_afifo_16i_16o_512_Z1_1, 0, 0, 0, 0, 0, 4, 0, 0, 0
.	.	. afifo_16i_16o_512_1, 56, 111, 0, 0, 0, 4, 0, 0, 0
.	.	.	. ipml_fifo_v1_4_afifo_16i_16o_512_Z2_0, 56, 111, 0, 0, 0, 4, 0, 0, 0
.	.	.	.	. ipml_fifo_ctrl_v1_3_12s_12s_ASYN_1020s_4s_0, 56, 111, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. ipml_sdpram_v1_4_afifo_16i_16o_512_Z1_0, 0, 0, 0, 0, 0, 4, 0, 0, 0
.	.	. frame_fifo_read_Z4, 75, 72, 0, 0, 0, 0, 0, 0, 0
.	.	. frame_fifo_write_Z3, 62, 59, 0, 0, 0, 0, 0, 0, 0
.	. i2c_config, 157, 136, 0, 0, 0, 0, 0, 0, 0
.	.	. i2c_master_top, 141, 123, 0, 0, 0, 0, 0, 0, 0
.	.	.	. i2c_master_byte_ctrl, 112, 101, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. i2c_master_bit_ctrl, 64, 75, 0, 0, 0, 0, 0, 0, 0
.	. image_processing, 2591, 151, 0, 0, 0, 0, 0, 0, 0
.	.	. div_0, 1260, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. div_1, 1262, 0, 0, 0, 0, 0, 0, 0, 0
.	. lut_ov5640_rgb565_1024_768, 92, 0, 0, 0, 0, 0, 29, 0, 0
.	. timing_gen_xy, 26, 62, 0, 0, 0, 0, 0, 0, 0
.	. video_pll, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	. video_timing_data, 40, 54, 0, 0, 0, 0, 0, 0, 0
.	.	. color_bar, 23, 31, 0, 0, 0, 0, 0, 0, 0
